,lift,freq,error,rule
2210,2.779712163416899,0.0025,0.0004,空運業 <= -0.0563& 電気・ガス業 <= -0.0905& その他製品 <= 0.0246& 証券・商品先物取引業 <= -0.2454
1753,2.779712163416899,0.0025,0.0004,銀行業 <= 0.3333& 銀行業 <= -0.2552& 電気機器 <= 0.2221& その他製品 > 0.0992& パルプ・紙 > -0.0874
460,2.779712163416899,0.0025,0.0004,空運業 > -0.1261& 金属製品 > 0.0490& 鉱業 > 0.1648& 精密機器 > 0.1558& 精密機器 > 0.1839& 小売業 > 0.3028
333,2.779712163416899,0.0025,0.0004,建設業 <= -0.1194& 電気機器 <= -0.1592& パルプ・紙 <= -0.1026& パルプ・紙 > -0.2581& 小売業 <= -0.1991& 卸売業 <= -0.1048
3798,2.779712163416899,0.0025,0.0004,情報・通信業 > -0.0661& 機械 > 0.2567& パルプ・紙 > -0.0882& パルプ・紙 > 0.0179& 海運業 <= 0.1944& 輸送用機器 <= 0.1165
854,2.779712163416899,0.0025,0.0004,食料品 > -0.1018& 非鉄金属 > -0.1932& パルプ・紙 <= -0.0790& パルプ・紙 > -0.0947& 医薬品 <= -0.0052& 医薬品 <= -0.0654
3127,2.779712163416899,0.01,0.0017,電気・ガス業 > -0.0932& ガラス・土石製品 > -0.2040& パルプ・紙 > -0.1193& ゴム製品 <= -0.1630& 証券・商品先物取引業 <= -0.2227& 繊維製品 <= -0.0618
81,2.779712163416899,0.0025,0.0004,電気・ガス業 > -0.1154& 水産・農林業 > 0.0324& ゴム製品 > -0.1585& 鉄鋼 <= -0.1049
2136,2.779712163416899,0.0075,0.0013,その他金融業 <= -0.0292& 水産・農林業 > -0.0061& 非鉄金属 > -0.2020& 陸運業 <= -0.0664& サービス業 > -0.1155& サービス業 > -0.0532
1749,2.779712163416899,0.0075,0.0013,電気機器 <= 0.2221& その他製品 <= 0.0992& 非鉄金属 <= 0.0395& パルプ・紙 > -0.0874& ゴム製品 <= -0.2295& 海運業 > -0.0512
2701,2.779712163416899,0.0025,0.0004,銀行業 > -0.0095& 電気・ガス業 > 0.0607& 水産・農林業 > 0.2007& 精密機器 <= 0.0836
