,使用ルール数,エントリールール数,リスク,期待リターン,シャープレシオ,取引回数
0,15,5,0.1901218919691236,0.299693003910082,1.5763203322148358,11
0,15,6,0.1884821531807374,0.31867498819649537,1.6907435681240057,11
0,15,7,0.18055845697923076,0.4508199168780858,2.496808648126311,10
0,15,8,0.17806183203004292,0.4780707482992375,2.6848580790664704,8
0,15,9,0.1870648041645448,0.39867414626728936,2.1312087436640943,6
0,15,10,0.1833351753831317,0.4013340866070618,2.189073023048406,6
0,15,11,0.17468405353258187,0.3655350437455695,2.0925495851136193,6
0,15,12,0.17850305143295073,0.37338892049895483,2.0917789219934266,5
0,15,13,0.18001209621496242,0.368875730613477,2.0491719077199235,3
0,15,14,0.1642080815241873,0.4071605327861424,2.4795401603067204,3
0,15,15,0.11133981408312253,0.4044120700238476,3.632232309297079,2
0,16,1,0.1954966763914453,0.12654032993110736,0.6472761187905526,21
0,16,2,0.19019274784071366,0.1231723015682522,0.6476182870621804,19
0,16,3,0.1973836971006181,0.16969113418060044,0.8597018734232083,15
0,16,4,0.19325235939531454,0.21537038025082816,1.1144514919492874,13
0,16,5,0.19384429115797092,0.280317977938116,1.4460987025389078,12
0,16,6,0.18979901672795452,0.30058766732623593,1.5837156193336797,11
0,16,7,0.1884821531807374,0.31867498819649537,1.6907435681240057,11
0,16,8,0.18055845697923076,0.4508199168780858,2.496808648126311,10
0,16,9,0.18418355266616013,0.4746997467544734,2.577318875018581,7
0,16,10,0.18710673042012554,0.3960680268785768,2.1168026718721125,6
0,16,11,0.1833351753831317,0.4013340866070618,2.189073023048406,6
0,16,12,0.17468405353258187,0.3655350437455695,2.0925495851136193,6
0,16,13,0.17850305143295073,0.37338892049895483,2.0917789219934266,5
0,16,14,0.18001209621496242,0.368875730613477,2.0491719077199235,3
0,16,15,0.1642080815241873,0.4071605327861424,2.4795401603067204,3
0,16,16,0.11133981408312253,0.4044120700238476,3.632232309297079,2
0,17,1,0.1954966763914453,0.12654032993110736,0.6472761187905526,21
0,17,2,0.19019274784071366,0.1231723015682522,0.6476182870621804,19
0,17,3,0.19118050857232483,0.1315320550426449,0.687999294618915,18
0,17,4,0.189855426047544,0.20416879320755607,1.07539087745866,14
