,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
2650,電気・ガス業,>,-0.0965076111955834,食料品,<=,-0.0351528259681377,パルプ・紙,<=,-0.0922352740958671,パルプ・紙,>,-0.135026389552394,小売業,<=,-0.036833348360988,鉄鋼,>,-0.103165249453449
2925,電気・ガス業,>,-0.0935523916476176,その他製品,<=,0.0736840282316689,非鉄金属,<=,0.226192745032936,陸運業,>,-0.0834009138868055,証券・商品先物取引業,>,0.0171919064856655,卸売業,>,-0.0752418613334926
880,機械,<=,0.187144201768468,鉱業,<=,0.324114428389723,パルプ・紙,>,-0.067470111152243,小売業,>,-0.193041077091706,鉄鋼,>,-0.103593282908655,サービス業,>,-0.113690484170706
3522,銀行業,<=,0.0852413772551674,機械,<=,0.283190811159209,金属製品,>,0.100866424875487,非鉄金属,>,0.155968244544338,精密機器,>,0.181099280298551,陸運業,>,-0.0768650751566719
387,電気・ガス業,>,0.0405316489624577,ガラス・土石製品,<=,0.277007011964578,石油・石炭製品,<=,0.214795921344654,陸運業,>,-0.0858937152443136,陸運業,>,-0.0005920049783757,輸送用機器,<=,0.121584849810122
602,空運業,>,-0.249210798331607,電気機器,>,-0.199979059397138,ガラス・土石製品,<=,-0.0745589905262879,機械,<=,-0.0532035768421753,鉱業,<=,0.174866515413792,パルプ・紙,>,-0.222901405975605
1545,電気・ガス業,>,-0.0932747042100546,水産・農林業,<=,0.0293771250320938,食料品,>,-0.0707114150669911,パルプ・紙,<=,-0.0650285061874748,石油・石炭製品,<=,0.0852746544008274,鉄鋼,<=,-0.0964848442588812
686,食料品,>,-0.117530927846846,ガラス・土石製品,<=,-0.0312385698344669,機械,<=,0.176176613864178,機械,<=,0.0382181323478334,非鉄金属,>,-0.202055372563597,陸運業,>,-0.0772540580943087
3780,電気・ガス業,<=,-0.0143977891188721,陸運業,>,-0.0831726648333048,不動産業,>,-0.161008784934419,海運業,<=,-0.122169384553193,卸売業,>,-0.130942834508623,倉庫・運輸関連業,>,-0.1183923118606
2619,金属製品,>,0.157315913946088,鉱業,<=,0.177473455552633,非鉄金属,<=,0.430695539664163,輸送用機器,>,0.165481147532504,倉庫・運輸関連業,>,0.10043138786361,,,
3071,その他金融業,<=,0.0411718318810246,金属製品,<=,0.0596118870168183,非鉄金属,>,-0.193548667363762,非鉄金属,<=,-0.128295976696684,パルプ・紙,>,-0.119217104306543,陸運業,<=,-0.082233615029021
1795,建設業,>,-0.184603552800212,食料品,<=,-0.00378234216196065,金属製品,<=,0.0475666541966944,非鉄金属,>,-0.194184412435717,陸運業,>,-0.0782223795276575,サービス業,<=,0.0642259999967393
2689,電気・ガス業,<=,0.0623644939592138,機械,>,-0.0841031496685456,陸運業,>,-0.0531001526155553,陸運業,<=,0.161019445148664,小売業,>,-0.170274388982534,輸送用機器,<=,0.188383153334414
229,銀行業,>,0.126609680610771,機械,<=,0.168876447975129,パルプ・紙,>,-0.0885918602140836,医薬品,<=,0.00476730382050645,小売業,>,-0.145704172109738,輸送用機器,<=,0.100885641301963
1337,情報・通信業,>,-0.0796902763131621,電気機器,<=,0.259284299084813,電気・ガス業,<=,0.0275768949978894,非鉄金属,>,0.130240039754564,パルプ・紙,>,-0.084662580899802,陸運業,>,-0.0707612748125052
2124,電気機器,<=,-0.0484849432946926,電気・ガス業,<=,0.0673156866664754,パルプ・紙,<=,-0.0651179181169425,石油・石炭製品,<=,0.0750757267479878,小売業,>,-0.193041077091706,海運業,<=,0.194262319063642
2047,金属製品,<=,-0.135509414489228,その他製品,<=,0.0324115300942144,非鉄金属,<=,-0.171918537850699,小売業,>,-0.254608257737323,海運業,<=,-0.0974776565810274,鉄鋼,>,-0.213554653528385
516,電気・ガス業,>,-0.001753024483862,金属製品,>,0.0611201195869414,パルプ・紙,>,-0.0874440192495066,精密機器,>,0.112806219247386,陸運業,>,-0.0778377622204374,証券・商品先物取引業,<=,0.230044356972991
2944,化学,<=,0.012668794434736,機械,<=,-0.0537291665279072,金属製品,<=,0.0270134013489403,その他製品,>,-0.0471398290379084,ゴム製品,>,-0.166814618737486,卸売業,<=,-0.0760146230600947
3073,その他金融業,<=,0.0411718318810246,その他金融業,<=,-0.0452887947420546,金属製品,<=,0.0596118870168183,非鉄金属,>,-0.193548667363762,パルプ・紙,>,-0.119217104306543,陸運業,>,-0.082233615029021
2335,水産・農林業,>,0.101602302816219,パルプ・紙,>,-0.0943954105984988,陸運業,<=,-0.0819289181927181,輸送用機器,>,-0.0763894377647193,,,,,,
1116,電気機器,<=,0.205424896823465,水産・農林業,<=,0.0186289133480669,金属製品,>,0.0516160929193444,金属製品,>,0.106951449787889,非鉄金属,>,0.139974086688772,鉄鋼,<=,0.202490999353309
2592,空運業,<=,0.0055064809002027,非鉄金属,<=,-0.202159516097439,パルプ・紙,<=,-0.242799289080643,小売業,>,-0.262127330282722,鉄鋼,<=,0.0692867341596515,輸送用機器,<=,0.165481147532504
737,銀行業,<=,0.0954512342068715,電気機器,>,0.197061910077361,金属製品,>,0.0551885281099692,パルプ・紙,>,-0.104283427126569,鉄鋼,<=,0.238078715252163,繊維製品,>,-0.0569350503638813
2679,空運業,>,-0.293258485400891,空運業,>,-0.0360912764350525,水産・農林業,>,0.0159555268385933,機械,<=,-0.0841031496685456,パルプ・紙,<=,-0.0590795037395217,小売業,>,-0.170274388982534
2169,ガラス・土石製品,>,-0.0662760457192279,非鉄金属,>,-0.0166696122335362,パルプ・紙,>,-0.0383830874731576,陸運業,<=,-0.0707612748125052,海運業,>,-0.279226008383252,輸送用機器,<=,0.0892070875624864
3101,銀行業,<=,-0.164049828155833,ガラス・土石製品,<=,-0.195240650441454,非鉄金属,<=,-0.130625456078236,石油・石炭製品,>,-0.247184987309484,陸運業,<=,-0.0773662091776424,海運業,>,-0.279226008383252
1103,その他金融業,>,-0.0448281669730999,ガラス・土石製品,<=,-0.0972473013391829,金属製品,<=,0.0516160929193444,鉱業,<=,0.10687459439006,非鉄金属,>,-0.199642888269106,パルプ・紙,<=,-0.0951142182818382
2768,化学,<=,0.0866408386163337,水産・農林業,>,-0.166479231008222,保険業,>,-0.150319543405587,機械,>,-0.0241166194917891,その他製品,>,0.0277150068753727,陸運業,<=,-0.0807601313377364
1498,パルプ・紙,<=,-0.222901405975605,海運業,<=,-0.495104380232665,鉄鋼,<=,-0.10291439827959,,,,,,,,,
1046,その他製品,<=,0.0277150068753727,陸運業,<=,-0.139334546898933,小売業,>,-0.192538730499128,海運業,<=,-0.0912541318454718,卸売業,<=,-0.0618222799731634,サイズ,<=,0.625
816,空運業,>,-0.0688706275330821,空運業,>,0.112073007407092,その他金融業,<=,0.226766639021497,金属製品,>,0.0371732003828582,非鉄金属,>,0.220574800451287,輸送用機器,>,0.171123566997043
2837,水産・農林業,<=,-0.0087885568803066,保険業,<=,-0.320575819835371,鉱業,<=,-0.03585699700498,石油・石炭製品,>,-0.262833992943881,輸送用機器,<=,0.018848001069562,卸売業,<=,-0.09643145374024
1704,食料品,<=,-0.163153651739296,その他製品,<=,0.0323723113569917,非鉄金属,<=,-0.189078514434171,パルプ・紙,<=,-0.223594216698326,,,,,,
2986,保険業,<=,-0.106257193942743,非鉄金属,>,-0.212161434362414,パルプ・紙,<=,-0.0842591318453798,不動産業,<=,-0.191175944930403,鉄鋼,<=,-0.104979657524799,卸売業,<=,-0.115479721206464
1476,電気機器,<=,-0.0701251987534217,その他金融業,>,-0.344304750993933,陸運業,<=,-0.0761788693695999,陸運業,<=,-0.0801692768293483,海運業,>,-0.205339814945789,鉄鋼,>,-0.103593282908655
1706,空運業,<=,0.00546422446591405,その他製品,<=,0.0323723113569917,非鉄金属,<=,-0.189078514434171,パルプ・紙,>,-0.223594216698326,ゴム製品,<=,-0.26638870194052,倉庫・運輸関連業,<=,-0.138365249115438
1518,その他金融業,>,-0.0433555126933362,食料品,>,0.0468899940235361,金属製品,<=,0.0266640723692,パルプ・紙,<=,-0.0858721508683563,鉄鋼,>,-0.10291439827959,,,
1910,保険業,<=,0.0065967843261821,非鉄金属,>,-0.0517934505805524,陸運業,<=,-0.0762823700560334,海運業,>,-0.277569025642883,倉庫・運輸関連業,>,0.00548964180736365,,,
311,空運業,>,-0.144219291171172,電気機器,<=,-0.0720706275242154,電気・ガス業,<=,-0.0912971080759345,パルプ・紙,<=,-0.0672450123007044,不動産業,<=,-0.138658967268534,鉄鋼,>,-0.105827720386558
218,水産・農林業,<=,0.0054174230320247,その他製品,>,0.0562004013759794,パルプ・紙,<=,-0.0885918602140836,石油・石炭製品,>,-0.138626549540021,輸送用機器,<=,0.0474251887761008,卸売業,>,-0.0772548682730458
3689,機械,>,-0.0578743839145787,金属製品,>,-0.109338842224836,金属製品,>,-0.0560150946058545,その他製品,<=,0.0975618442859396,陸運業,<=,-0.0831801904531082,倉庫・運輸関連業,>,0.0063154096335811
683,食料品,<=,-0.117530927846846,機械,<=,0.176176613864178,機械,<=,0.0382181323478334,非鉄金属,>,-0.202055372563597,倉庫・運輸関連業,>,-0.0171770569108804,,,
1884,建設業,>,0.0231269805555485,金属製品,<=,0.0459242934178983,パルプ・紙,>,-0.057829782151574,海運業,<=,0.0521779838863113,鉄鋼,<=,0.0525037451778159,輸送用機器,>,0.0933780707853939
3529,食料品,<=,0.0978875809084929,鉱業,<=,0.043866040271838,パルプ・紙,>,-0.230549613935891,精密機器,<=,-0.110742569771876,小売業,>,-0.190218123710425,マーケット,<=,-3.28
2356,電気機器,>,0.164477409902426,その他金融業,<=,0.667303847844503,非鉄金属,>,0.254873080456285,陸運業,>,-0.0819289181927181,不動産業,>,0.286561573208313,鉄鋼,>,0.365269883338114
40,空運業,<=,-0.143584256608587,陸運業,<=,-0.0823811955876527,ゴム製品,>,-0.207185123145468,海運業,>,-0.282684736139684,輸送用機器,<=,0.108710380688696,輸送用機器,>,-0.269061923166939
1900,建設業,<=,-0.164979416688505,水産・農林業,>,-0.0843003466277064,非鉄金属,<=,-0.0517934505805524,陸運業,<=,-0.0762823700560334,陸運業,<=,-0.11384831411585,海運業,>,-0.277569025642883
